,titulo_canto,texto
0,Canto 1,El cual declara el asiento y descripción de la provincia de Chile y
1,Canto 1,"Estado de Arauco, con las costumbres y modos de guerra que los"
2,Canto 1,naturales tienen; y asimismo trata en suma la entrada y conquista
3,Canto 1,que los españoles hicieron hasta que Arauco se comenzó a rebelar
4,Canto 1,
5,Canto 1,"No las damas, amor, no gentilezas"
6,Canto 1,"de caballeros canto enamorados,"
7,Canto 1,"ni las muestras, regalos y ternezas"
8,Canto 1,de amorosos afectos y cuidados;
9,Canto 1,"mas el valor, los hechos, las proezas"
10,Canto 1,"de aquellos españoles esforzados,"
11,Canto 1,que a la cerviz de Arauco no domada
12,Canto 1,pusieron duro yugo por la espada.
13,Canto 1,
14,Canto 1,Cosas diré también harto notables
15,Canto 1,"de gente que a ningún rey obedecen,"
16,Canto 1,temerarias empresas memorables
17,Canto 1,"que celebrarse con razón merecen,"
18,Canto 1,raras industrias términos loables
19,Canto 1,que más los españoles engrandecen
20,Canto 1,pues no es el vencedor más estimado
21,Canto 1,de aquello en que el vencido es reputado.
22,Canto 1,
23,Canto 1,"Suplícoos, gran Felipe, que mirada"
24,Canto 1,"esta labor, de vos sea recebida,"
25,Canto 1,"que, de todo favor necesitada,"
26,Canto 1,queda con darse a vos favorecida.
27,Canto 1,Es relación sin corromper sacada
28,Canto 1,"de la verdad, cortada a su medida;"
29,Canto 1,"no despreciéis el don, aunque tan pobre,"
30,Canto 1,para que autoridad mi verso cobre.
31,Canto 1,
32,Canto 1,"Quiero a señor tan alto dedicarlo,"
33,Canto 1,"porque este atrevimiento lo sostenga,"
34,Canto 1,"tomando esta manera de ilustrarlo,"
35,Canto 1,para que quien lo viere en más lo tenga;
36,Canto 1,"y si esto no bastare a no tacharlo,"
37,Canto 1,a lo menos confuso se detenga
38,Canto 1,"pensando que, pues va a Vos dirigido,"
39,Canto 1,que debe de llevar algo escondido.
40,Canto 1,
41,Canto 1,"Y haberme en vuestra casa yo criado,"
42,Canto 1,"que crédito me da por otra parte,"
43,Canto 1,"hará mi torpe estilo delicado,"
44,Canto 1,"y lo que va sin orden, lleno de arte;"
45,Canto 1,"así, de tantas cosas animado,"
46,Canto 1,la pluma entregaré al furor de Marte:
47,Canto 1,"dad orejas Señor, a lo que digo,"
48,Canto 1,que soy de parte dello buen testigo.
49,Canto 1,
