,elemento_titulo,img_url
0,"Lanzamiento del libro ""Pipochi, piano popular chileno""",https://media.elmostrador.cl/2022/08/Oscar_2-210x210.jpg
1,“La gran noche del canto popular” en La Pintana,https://media.elmostrador.cl/2022/08/pintana-portada-210x210.png
2,Cantata Mapudungún en Teatro Municipal de Maipú,https://media.elmostrador.cl/2022/08/unnamed-98-210x210.png
3,Presentación de libro “El coleccionista” de Matías Prado,https://media.elmostrador.cl/2022/08/MG1_8023-210x210.jpg
4,Agrupación de cueca “Los 30 pesos” en Valparaíso,https://media.elmostrador.cl/2022/08/unnamed-100-210x210.png
5,"Jornada cultural ""Lecturas Constitucionales en Movimiento""",https://media.elmostrador.cl/2022/08/Biblioteca-Nacional-210x210.jpg
6,Winter Rock Fest en Faq Records,https://media.elmostrador.cl/2022/08/WhatsApp-Image-2022-08-24-at-9.36.28-AM-210x210.jpeg
7,"Lanzamiento de libro ""La Virgen María"" de J. M. Ibáñez Langlois",https://media.elmostrador.cl/2022/08/Jose-Miguel-Ibanez-Langlois-210x210.jpg
8,"""El lago de los cisnes"" en Teatro Municipal de Santiago",https://media.elmostrador.cl/2022/08/ballet-210x210.png
9,Intervención lumínica en Chiu Chiu,https://media.elmostrador.cl/2022/08/Intervención-lumínica-de-Julio-Escobar-210x210.jpg
